설계 지표,결과 지표,① 전체,② 과목 내,③ 고정효과,④ 과목 평균,판정
평가 수,25일 전 이탈 비율,-0.027343703278770587,-0.41590156772862974,0.03896103896103896,0.25,과목 내 변화만
평가 수,25일 이후 이탈률,0.19881150925606114,0.21813478749748036,-0.07396950875211744,0.17857142857142858,약함
평가 수,완주자 합격률,-0.6477039714158782,-0.5801596908442023,-0.5358554488989271,-0.5714285714285714,일관
평가 수,ROC-AUC,0.24324502708406334,0.23258950233165074,0.04912478825522304,-0.17857142857142858,약함
평가 수,PR-AUC 배수,-0.03816725249328394,0.20302304017084769,0.044607566346696784,-0.39285714285714285,과목 간 차이만
평가 수,관리자 명단 비율,0.19311490440631726,0.1616299931457234,0.032185206098249576,0.21428571428571427,약함
평가 밀도,25일 전 이탈 비율,-0.042348955392433656,-0.4330886504799548,0.05928853754940711,0.25,과목 내 변화만
평가 밀도,25일 이후 이탈률,0.1880293619424054,0.3495200451722191,-0.08752117447769622,0.17857142857142858,과목 내 변화만
평가 밀도,완주자 합격률,-0.7515527950310559,-0.8091473743647657,-0.5279503105590062,-0.5714285714285714,일관
평가 밀도,ROC-AUC,0.23094297007340486,0.13946922642574816,0.08639186900056466,-0.17857142857142858,약함
평가 밀도,PR-AUC 배수,-0.1101072840203275,0.09090909090909091,0.09090909090909091,-0.39285714285714285,과목 간 차이만
평가 밀도,관리자 명단 비율,0.21964991530208922,0.35064935064935066,0.011857707509881422,0.21428571428571427,과목 내 변화만
CMA 수,25일 전 이탈 비율,-0.19293590082253365,-0.41590156772862974,0.045736871823828344,0.12613124477737825,과목 내 변화만
CMA 수,25일 이후 이탈률,0.012980396997234678,0.21813478749748036,-0.006211180124223602,0.19820624179302296,약함
CMA 수,완주자 합격률,-0.5127256813907698,-0.5801596908442023,-0.5358554488989271,-0.4865062298556018,일관
CMA 수,ROC-AUC,0.05841178648755605,0.23258950233165074,0.07622811970638058,-0.05405624776173354,약함
CMA 수,PR-AUC 배수,-0.10797330229517937,0.20302304017084769,0.033314511575381144,-0.3423562358243124,과목 간 차이만
CMA 수,관리자 명단 비율,-0.045431389490321376,0.1616299931457234,0.12027103331451157,0.19820624179302296,약함
첫 평가일,25일 전 이탈 비율,-0.45821467281662465,0.12956057435900367,-0.07284020327498589,-0.7142857142857143,과목 간 차이만
첫 평가일,25일 이후 이탈률,-0.37762415247199216,0.13373994772542314,0.42857142857142855,-0.4642857142857143,상충
첫 평가일,완주자 합격률,0.10879720246525383,0.13314289438736324,0.11575381140598531,0.14285714285714285,약함
첫 평가일,ROC-AUC,-0.22507781039108068,0.18389242812245682,0.36645962732919257,-0.10714285714285714,과목 내 변화만
첫 평가일,PR-AUC 배수,-0.10016250385690036,0.050749533735093603,0.055900621118012424,0.21428571428571427,약함
첫 평가일,관리자 명단 비율,-0.5169306233534283,0.09672264076570782,0.3190287972896669,-0.5714285714285714,상충
첫 평가 가중치,25일 전 이탈 비율,0.03492029594925508,-0.053814985295422536,-0.3879164313946923,-0.14285714285714285,과목 내 변화만
첫 평가 가중치,25일 이후 이탈률,0.12708697870056768,0.11550533429261423,0.37775268210050816,0.0,과목 내 변화만
첫 평가 가중치,완주자 합격률,0.23928989683260038,-0.16275751650322914,0.2919254658385093,0.10714285714285714,약함
첫 평가 가중치,ROC-AUC,0.2547464212691559,0.2618558430838243,0.639751552795031,0.2857142857142857,과목 내 변화만
첫 평가 가중치,PR-AUC 배수,0.5638769100002664,0.22313530488345928,0.3438735177865613,0.9285714285714286,일관
첫 평가 가중치,관리자 명단 비율,-0.07900001378683937,-0.3858928213866884,-0.5302089215132694,-0.07142857142857142,과목 내 변화만
25일 내 평가 수,25일 전 이탈 비율,0.37210143445485927,-0.35666059547054824,0.26485362532288803,0.5776938278449569,상충
25일 내 평가 수,25일 이후 이탈률,0.6361063628111002,0.21702460762122983,-0.10685081879979173,0.6772962119561564,과목 간 차이만
25일 내 평가 수,완주자 합격률,-0.3637863186011194,-0.38862546015894645,-0.33930818523125356,-0.6573757351339166,일관
25일 내 평가 수,ROC-AUC,0.5709712886234712,0.03280604533809288,-0.2546232277782271,0.6573757351339166,과목 간 차이만
25일 내 평가 수,PR-AUC 배수,0.194712296241742,-0.047106116382902595,-0.2443928302335662,0.09960238411119947,약함
25일 내 평가 수,관리자 명단 비율,0.8003299009224627,0.5299438093076542,0.4637780220246279,0.7968190728895957,일관
60일 내 평가 수,25일 전 이탈 비율,0.3937734780671844,-0.41590156772862974,0.03502825417795923,0.7041868508280461,상충
60일 내 평가 수,25일 이후 이탈률,0.49221684758398043,0.21813478749748036,-0.024858761029519456,0.5559369874958259,과목 간 차이만
60일 내 평가 수,완주자 합격률,-0.41977738699614936,-0.5801596908442023,-0.5751413347284274,-0.5929994533288809,일관
60일 내 평가 수,ROC-AUC,0.4897402848288409,0.23258950233165074,0.012994352356339715,0.3335621924974955,과목 간 차이만
60일 내 평가 수,PR-AUC 배수,0.2092695528092898,0.20302304017084769,-0.018079098930559603,-0.03706246583305506,약함
60일 내 평가 수,관리자 명단 비율,0.6240938142951601,0.1616299931457234,0.15649720011765658,0.630061919161936,과목 간 차이만
평가 간격 중앙값,25일 전 이탈 비율,0.24539869970234343,0.4160817155768035,0.0016939582156973462,0.0909241209316635,과목 내 변화만
평가 간격 중앙값,25일 이후 이탈률,0.16885767669994584,-0.19754037285270956,0.0818746470920384,0.07273929674533079,약함
평가 간격 중앙값,완주자 합격률,0.462751833724419,0.572276428995225,0.5957086391869001,0.5637295497763136,일관
