model,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,fold_pr_auc_min,fold_pr_auc_max,n_candidates,best_params,oof_pr_auc,oof_roc_auc,@0.5_precision,@0.5_recall,@0.5_f1,@0.5_f2,@0.5_flag_rate,@0.5_tp,@0.5_fp,@0.5_fn,@0.5_tn
Dummy,0.19055338969439456,8.685829012062636e-05,0.5,0.0,0.19043760129659643,0.19070772555375473,1,{},0.19050708934626878,0.49985986253084214,0.0,0.0,0.0,0.0,0.0,0,0,3526,14978
Logistic,0.39662356708423535,0.012922152035364369,0.7238472250768716,0.004906924330135027,0.3753803581201461,0.41593485238075745,5,"{""model__C"": 100.0}",0.39523981833836724,0.7235998977361919,0.33881476884889855,0.6193987521270562,0.4380264741275572,0.5313868613138686,0.348357111975789,2184,4262,1342,10716
RandomForest,0.4052771311880924,0.013428834409346299,0.7265447503110252,0.004825513570954314,0.38648808187201356,0.4280471100755854,18,"{""model__max_depth"": null, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 30}",0.40207096864604236,0.726124739048165,0.348090849242923,0.5998298355076574,0.44053322224536556,0.5240336967294351,0.3283614353653264,2115,3961,1411,11017
XGBoost,0.40461257800113676,0.011868086687480114,0.7280031599697198,0.0031065166743826666,0.3830605135206505,0.4173136784489925,27,"{""model__learning_rate"": 0.01, ""model__max_depth"": 5, ""model__min_child_weight"": 30}",0.40234834517762086,0.7277149139971373,0.34490998884817586,0.6140102098695406,0.44170151994287465,0.5311319366076247,0.3392239515780372,2165,4112,1361,10866
