세트,규칙,관리자 명단(25일),관리자 명단 추가,관리자 명단 합계,승격 인원,승격 집단 이탈률,체크포인트 이후 이탈자 포착(25일 명단),체크포인트 이후 이탈자 포착(1차+2차),전체 이탈자 포착(25일 명단),전체 이탈자 포착(1차+2차)
개발,R0 1차만,0.3349546044098573,0.0,0.3349546044098573,0.0,,0.5706860706860707,0.5706860706860707,0.6108905275099262,0.6108905275099262
개발,R1 관찰×미제출,0.3349546044098573,0.07441634241245136,0.4093709468223087,1377.0,0.21060275962236746,0.5706860706860707,0.6711711711711712,0.6108905275099262,0.6931366988088485
개발,R2 관찰·일반×미제출,0.3349546044098573,0.14315823605706873,0.4781128404669261,2649.0,0.17667044167610418,0.5706860706860707,0.7328482328482329,0.6108905275099262,0.7436188315371526
개발,R3 R2+활동감소,0.3349546044098573,0.2775616083009079,0.6125162127107653,5136.0,0.13317757009345793,0.5706860706860707,0.8076923076923077,0.6108905275099262,0.8048780487804879
개발,R4 관찰·일반×활동감소,0.3349546044098573,0.20784695201037615,0.5428015564202334,3846.0,0.12480499219968799,0.5706860706860707,0.737006237006237,0.6108905275099262,0.7470221213840046
holdout 2014J,R0 1차만,0.34207650273224044,0.0,0.34207650273224044,0.0,,0.543579507651364,0.543579507651364,0.561046511627907,0.561046511627907
holdout 2014J,R1 관찰×미제출,0.34207650273224044,0.05431693989071038,0.39639344262295084,497.0,0.2655935613682093,0.543579507651364,0.6314038589487692,0.561046511627907,0.6377906976744186
holdout 2014J,R2 관찰·일반×미제출,0.34207650273224044,0.12032786885245901,0.46240437158469944,1101.0,0.23978201634877383,0.543579507651364,0.7192282102461743,0.561046511627907,0.7145348837209302
holdout 2014J,R3 R2+활동감소,0.34207650273224044,0.2819672131147541,0.6240437158469946,2580.0,0.1507751937984496,0.543579507651364,0.8023952095808383,0.561046511627907,0.7872093023255814
holdout 2014J,R4 관찰·일반×활동감소,0.34207650273224044,0.22972677595628416,0.5718032786885245,2102.0,0.1379638439581351,0.543579507651364,0.7365269461077845,0.561046511627907,0.7296511627906976
