model,CV 기본,CV +상대,CV 변화,학기 단위 기본,학기 단위 +상대,학기 단위 변화,adopted
Logistic,0.4001511997247259,0.399945597934159,-0.00020560179056688943,0.318113899914113,0.3178145087434652,-0.0002993911706478114,False
RandomForest,0.4061339060896086,0.40646728599675247,0.00033337990714388255,0.3429988687634636,0.3414586013249426,-0.0015402674385209814,False
XGBoost,0.405595405331971,0.4069003939819349,0.0013049886499638674,0.3604183138125926,0.35783153033152815,-0.0025867834810644474,False
