사례,결과 지표,이전,이후,과목 변화,대조 과목 평균 변화,이중차분
S1 BBB CMA 삭제·첫 평가 가중치 0,25일 전 이탈 비율,0.17881090746535538,0.21902268760907503,0.04021178014371965,0.03455883713852058,0.005652943005199071
S1 BBB CMA 삭제·첫 평가 가중치 0,25일 이후 이탈률,0.1340599455040872,0.13175675675675674,-0.002303188747330459,0.010704717924067084,-0.013007906671397543
S1 BBB CMA 삭제·첫 평가 가중치 0,완주자 합격률,0.6729441305712492,0.7465975372650681,0.07365340669381881,0.02741800796355276,0.04623539873026605
S1 BBB CMA 삭제·첫 평가 가중치 0,ROC-AUC,0.6556828705480258,0.5858178966155619,-0.06986497393246383,0.020394029773196064,-0.0902590037056599
S1 BBB CMA 삭제·첫 평가 가중치 0,PR-AUC 배수,1.8721801938316296,1.27505526117322,-0.5971249326584096,-0.019619564472855754,-0.5775053681855539
S1 BBB CMA 삭제·첫 평가 가중치 0,관리자 명단 비율,0.27411444141689373,0.45664414414414417,0.18252970272725044,-0.006735786921562592,0.18926548964881304
S2 DDD 첫 평가 25→20일,25일 전 이탈 비율,0.1480908152734778,0.18691070438158625,0.038819889108108435,0.03483721534564282,0.0039826737624656175
S2 DDD 첫 평가 25→20일,25일 이후 이탈률,0.2406060606060606,0.20275862068965517,-0.037847439916405434,0.017813568157882077,-0.05566100807428751
S2 DDD 첫 평가 25→20일,완주자 합격률,0.6595067621320605,0.6851211072664359,0.025614345134375438,0.037025820275441435,-0.011411475141065996
S2 DDD 첫 평가 25→20일,ROC-AUC,0.7463478080817624,0.7038609561471647,-0.04248685193459767,0.014918405373622833,-0.057405257308220506
S2 DDD 첫 평가 25→20일,PR-AUC 배수,2.0093142108023887,2.0041464742671535,-0.005167736535235168,-0.13801100369749064,0.13284326716225547
S2 DDD 첫 평가 25→20일,관리자 명단 비율,0.5212121212121212,0.4868965517241379,-0.03431556948798331,0.03663326752148416,-0.07094883700946747
S3 FFF 첫 평가 19→24일 (J),25일 전 이탈 비율,0.12965396408234778,0.21226215644820295,0.08260819236585518,0.02607955469409347,0.05652863767176171
S3 FFF 첫 평가 19→24일 (J),25일 이후 이탈률,0.19184290030211482,0.17899891186071817,-0.012843988441396642,0.01281287786288032,-0.02565686630427696
S3 FFF 첫 평가 19→24일 (J),완주자 합격률,0.6809701492537313,0.7397350993377484,0.058764950084017054,0.03039569928551311,0.028369250798503942
S3 FFF 첫 평가 19→24일 (J),ROC-AUC,0.6622660485196359,0.7116369664485227,0.049370917928886815,-0.003453148599074063,0.05282406652796088
S3 FFF 첫 평가 19→24일 (J),PR-AUC 배수,1.8212661526484035,2.0709976349708987,0.2497314823224952,-0.18899084746903672,0.4387223297915319
S3 FFF 첫 평가 19→24일 (J),관리자 명단 비율,0.378147029204431,0.36887921653971706,-0.009267812664713937,0.03162371615683028,-0.04089152882154422
S4 FFF 첫 평가 19→24일 (B),25일 전 이탈 비율,0.06815365551425032,0.13,0.06184634448574969,0.08664377373333851,-0.02479742924758882
S4 FFF 첫 평가 19→24일 (B),25일 이후 이탈률,0.20013297872340424,0.20292083013066872,0.00278785140726448,-0.03086738962084408,0.03365524102810856
S4 FFF 첫 평가 19→24일 (B),완주자 합격률,0.6500415627597672,0.630057803468208,-0.019983759291559156,0.03729956425606906,-0.05728332354762822
S4 FFF 첫 평가 19→24일 (B),ROC-AUC,0.7223951221939072,0.6683213523859618,-0.05407376980794543,-0.06550807797334768,0.011434308165402252
S4 FFF 첫 평가 19→24일 (B),PR-AUC 배수,2.1033734205759993,1.5916389643616418,-0.5117344562143575,-0.28271869616653733,-0.2290157600478202
S4 FFF 첫 평가 19→24일 (B),관리자 명단 비율,0.38389886892880903,0.4027671022290546,0.018868233300245563,-0.14440239933424565,0.1632706326344912
S5 DDD CMA 7개·25일 내 평가 2개,25일 전 이탈 비율,0.15716612377850162,0.09056024558710668,-0.06660587819139493,-0.08426400688051588,0.01765812868912095
S5 DDD CMA 7개·25일 내 평가 2개,25일 이후 이탈률,0.28654404646660214,0.26418289585097376,-0.022361150615628378,0.04065403922502603,-0.0630151898406544
S5 DDD CMA 7개·25일 내 평가 2개,완주자 합격률,0.6490514905149052,0.5855338691159586,-0.06351762139894657,0.004451126089183799,-0.06796874748813037
S5 DDD CMA 7개·25일 내 평가 2개,ROC-AUC,0.7169781874265571,0.7364807914115872,0.01950260398503012,0.08279366088480533,-0.06329105689977521
S5 DDD CMA 7개·25일 내 평가 2개,PR-AUC 배수,1.7183070083811143,1.7952742586159216,0.07696725023480733,0.5001022991563124,-0.4231350489215051
S5 DDD CMA 7개·25일 내 평가 2개,관리자 명단 비율,0.562015503875969,0.7735368956743003,0.2115213917983313,0.029207586784957218,0.18231380501337408
