set,code_module,행 수,이탈률,평가 신호,PR-AUC,lift(PR-AUC/이탈률),ROC-AUC,평균 예측 − 실제,전역: 위험군 비율,전역: Recall,전역: Precision,과목별 28%: Recall,과목별 28%: Precision,개발 OOF lift,비고
dev_oof,AAA,370,0.12972972972972974,있음,0.25867127527316736,1.9939244135639982,0.6521739130434783,,,,,,,,
dev_oof,BBB,4706,0.15660858478538037,있음,0.29908141418740114,1.9097383109442465,0.6788976508237347,,,,,,,,
dev_oof,CCC,1520,0.3171052631578947,있음,0.5270796473684901,1.6621598838176452,0.7086381406950807,,,,,,,,
dev_oof,DDD,3861,0.2602952602952603,있음,0.48122354990121974,1.8487603245458801,0.732010814275959,,,,,,,,
dev_oof,EEE,1536,0.13411458333333334,없음,0.24493875463288478,1.8263394520199563,0.645277027520257,,,,,,,,
dev_oof,FFF,4790,0.19749478079331942,있음,0.35841137739506534,1.81478910964309,0.6854492215429224,,,,,,,,
dev_oof,GGG,1721,0.05926786751888437,없음,0.0896798012203041,1.5131268421582682,0.5900822342525645,,,,,,,,
holdout,AAA,348,0.14080459770114942,있음,0.22323478792883042,1.5854225754945508,0.6487611767114874,0.03489153408028006,0.2413793103448276,0.3877551020408163,0.2261904761904762,0.46938775510204084,0.23469387755102042,1.9939244135639982,
holdout,BBB,1776,0.13175675675675674,있음,0.17675033275626906,1.3414897050219396,0.5863458489917633,0.05120268390931404,0.4363738738738739,0.5213675213675214,0.15741935483870967,0.36752136752136755,0.1702970297029703,1.9097383109442465,25일 내 평가가 가중치 0 TMA
holdout,CCC,2006,0.292123629112662,있음,0.5137421967139952,1.7586464959185573,0.7075181464211893,-0.07266291719861298,0.4067796610169492,0.6279863481228669,0.45098039215686275,0.4880546075085324,0.5017543859649123,1.6621598838176452,
holdout,DDD,1450,0.20275862068965517,있음,0.3946686701909564,1.9464951420982546,0.695078031212485,0.014649126569681703,0.4006896551724138,0.6122448979591837,0.3098106712564544,0.5034013605442177,0.3592233009708738,1.8487603245458801,
holdout,EEE,1017,0.13372664700098327,없음,0.2742762999330166,2.051022036999102,0.68489183414569,-0.0014402046062085838,0.13470993117010815,0.3161764705882353,0.31386861313868614,0.49264705882352944,0.23183391003460208,1.8263394520199563,
holdout,FFF,1838,0.17899891186071817,있음,0.3672061960148479,2.0514437333595454,0.7095038683803965,0.006067575065323905,0.2578890097932535,0.5197568389057751,0.36075949367088606,0.5562310030395137,0.3505747126436782,1.81478910964309,
holdout,GGG,715,0.12867132867132866,없음,0.17104759337368772,1.3293372745889862,0.5900446646660618,-0.0883906759756883,0.0,0.0,0.0,0.391304347826087,0.17733990147783252,1.5131268421582682,기준 이탈률 상승 과목
