바꾼 경계,값,A안,1 고위험 비율,1 고위험 이탈률,2 주의 비율,2 주의 이탈률,3 관찰 비율,3 관찰 이탈률,4 일반 비율,4 일반 이탈률,관리자 명단(1+2),Recall 1,Recall 1+2,Recall 1~3,Precision 1,Precision 1+2,GGG Recall 1~3,과목 최소 Recall 1~3
high,0.3,False,0.19487678339818418,0.42373821408763174,0.14007782101167315,0.24151234567901234,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.43335224049914917,0.6108905275099262,0.8079977311401021,0.42373821408763174,0.3475314617618587,0.3627450980392157,0.3627450980392157
high,0.35,False,0.15520968439256377,0.4557799442896936,0.17974492001729356,0.2540589296452195,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.371242200794101,0.6108905275099262,0.8079977311401021,0.4557799442896936,0.3475314617618587,0.3627450980392157,0.3627450980392157
high,0.4,True,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8079977311401021,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
high,0.45,False,0.06566147859922179,0.5275720164609053,0.2692931258106355,0.3036323499899659,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.18179239931934202,0.6108905275099262,0.8079977311401021,0.5275720164609053,0.3475314617618587,0.3627450980392157,0.3627450980392157
high,0.5,False,0.03199308257674016,0.5962837837837838,0.30296152183311714,0.32126293257224403,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.10011344299489507,0.6108905275099262,0.8079977311401021,0.5962837837837838,0.3475314617618587,0.3627450980392157,0.3627450980392157
mid,0.15,False,0.11078685689580631,0.4814634146341463,0.3698659749243407,0.23801870251315022,0.10781452658884566,0.11679197994987468,0.41153264159100733,0.08890347997373604,0.480652831820147,0.27992058990357344,0.7419171866137266,0.8079977311401021,0.4814634146341463,0.2941308747470205,0.3627450980392157,0.3627450980392157
mid,0.2,True,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8079977311401021,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
mid,0.25,False,0.11078685689580631,0.4814634146341463,0.13942931258106356,0.31589147286821706,0.3382511889321228,0.16727911806997922,0.41153264159100733,0.08890347997373604,0.25021616947686987,0.27992058990357344,0.5110606920022689,0.8079977311401021,0.4814634146341463,0.38920086393088554,0.3627450980392157,0.3627450980392157
mid,0.3,False,0.11078685689580631,0.4814634146341463,0.08408992650237787,0.3476863753213368,0.39359057501080846,0.18138129891528215,0.41153264159100733,0.08890347997373604,0.19487678339818418,0.27992058990357344,0.43335224049914917,0.8079977311401021,0.4814634146341463,0.42373821408763174,0.3627450980392157,0.3627450980392157
low,0.1,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.3973735408560311,0.1353189174486604,0.26767185473411154,0.07611548556430446,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.893079977311401,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
low,0.13,True,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8079977311401021,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
low,0.15,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.17423259835711197,0.15446650124069478,0.4908127972330307,0.09623430962343096,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.7521270561542824,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
low,0.19,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.07084954604409857,0.13806254767353165,0.5941958495460441,0.10832196452933152,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.6622234826999432,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
module_top,0.0,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.22843709468223086,0.15708540335935653,0.4366083009079118,0.08763460824359451,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.7992058990357346,0.4814634146341463,0.3475314617618587,0.058823529411764705,0.058823529411764705
module_top,0.2,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.24421746649373108,0.15091834476654126,0.4208279290964116,0.08860922049569796,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8043108338060124,0.4814634146341463,0.3475314617618587,0.23529411764705882,0.23529411764705882
module_top,0.3,True,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.2535127539991353,0.1481560434875293,0.41153264159100733,0.08890347997373604,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8079977311401021,0.4814634146341463,0.3475314617618587,0.3627450980392157,0.3627450980392157
module_top,0.4,False,0.11078685689580631,0.4814634146341463,0.22416774751405102,0.2813404050144648,0.2648616515348033,0.14527647418894105,0.4001837440553394,0.08912896691424713,0.3349546044098573,0.27992058990357344,0.6108905275099262,0.8128190584231424,0.4814634146341463,0.3475314617618587,0.47058823529411764,0.47058823529411764
