,학생,이탈,이탈률,PR-AUC,PR-AUC/이탈률,ROC-AUC,Brier,평균 예측 − 실제,관리자 명단(25일),25일 명단 포착률,1차+2차 명단,1차+2차 포착률,1차+2차 적중률,1 고위험 이탈률,2 주의 이탈률,3 관찰 이탈률,4 일반 이탈률
S0 제외(주 분석),9150.0,1720.0,0.18797814207650274,0.3571521073369106,1.8999661524027511,0.6793946211149018,0.1421038872551414,-0.008070496933195476,0.34207650273224044,0.561046511627907,0.39639344262295084,0.6377906976744186,0.30245381858285086,0.4696223316912972,0.2693375644585482,0.17719568567026195,0.10066290203780996
S1 87명 포함(상한),9237.0,1807.0,0.1956262855905597,0.3821663365770379,1.9535530995916432,0.6888996433043025,0.14460465958379534,-0.013882674487376595,0.34751542708671646,0.5783065855008301,0.4016455559164231,0.6530160486995019,0.31805929919137466,0.4992248062015504,0.2818713450292398,0.17888262429523322,0.10132482826300294
차이(S1 − S0),87.0,87.0,0.00764814351405696,0.025014229240127306,0.05358694718889212,0.009505022189400747,0.0025007723286539496,-0.005812177554181119,0.005438924354476016,0.017260073872923165,0.005252113293472249,0.015225351025083267,0.015605480608523792,0.02960247451025322,0.0125337805706916,0.0016869386249712681,0.0006619262251929825
