,F1,F1,GGG Recall,GGG Recall,Precision,Precision,Recall,Recall,과목 최소 Recall,과목 최소 Recall,관리자 명단,관리자 명단,명단 밖 이탈률,명단 밖 이탈률
,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF,holdout 2014J,개발 OOF
F1 최대(단일),0.39261960952585284,0.4463749463749464,0.0,0.0,0.3111186671200272,0.3589168678854778,0.5319767441860465,0.5901871809415768,0.0,0.0,0.3214207650273224,0.3133376567228707,0.12965050732807215,0.11372579883519597
F2 최대(단일),0.3891026627674311,0.4070706335927839,0.0,0.058823529411764705,0.2646012141511409,0.27375012229723117,0.7348837209302326,0.7935337492909813,0.0,0.058823529411764705,0.5220765027322405,0.5523670557717251,0.1042762405671164,0.08789086079922734
전역 상위 20%(단일),0.35580736543909347,0.43033070430330705,0.0,0.0,0.3469613259668508,0.4201567144015131,0.36511627906976746,0.4410096426545661,0.0,0.0,0.19781420765027322,0.2000108084738435,0.14877384196185287,0.13314868607714653
Recall 80% 선(단일),0.38472032742155526,0.40351880989844086,0.0,0.06862745098039216,0.2602009432027886,0.2697972456006121,0.7377906976744186,0.8000567214974476,0.0,0.06862745098039216,0.5330054644808743,0.5650670125378296,0.10554645448162883,0.08759940357852883
과목 내 상위 30%만,0.3872702823845809,0.3964718853362734,0.45652173913043476,0.3627450980392157,0.3150984682713348,0.32431457431457433,0.5023255813953489,0.5099262620533183,0.3717948717948718,0.3627450980392157,0.299672131147541,0.29961089494163423,0.13358302122347065,0.13333333333333333
A안 관리자 명단(1+2),0.3979381443298969,0.4430275606746195,0.0,0.0,0.3083067092651757,0.3475314617618587,0.561046511627907,0.6108905275099262,0.0,0.0,0.34207650273224044,0.3349546044098573,0.12541528239202657,0.11149032992036405
A안 인지 범위(1~3),0.3854641753714874,0.3952826916406521,0.45652173913043476,0.3627450980392157,0.2580263935394918,0.2616401873450271,0.7616279069767442,0.8079977311401021,0.45652173913043476,0.3627450980392157,0.554863387978142,0.5884673584089927,0.10066290203780996,0.08890347997373604
"인력 조정안 명단(1+2, 주의 0.25)",0.38515987307786187,0.441883276115743,0.0,0.0,0.33193100546907867,0.38920086393088554,0.45872093023255817,0.5110606920022689,0.0,0.0,0.2597814207650273,0.25021616947686987,0.1374575520448841,0.12426120801499208
